Timestamp,Where do you tend to keep your phone,Do you tend to keep your phone on your left or right?,"When you keep your phone in a pants pocket, which pocket do you normally use?",Which style pants do you tend to wear?
3/6/2020 16:45:07,Coat/Jacket pocket,Right,,
3/6/2020 16:45:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:46:44,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:49:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:51:10,Purse/Handbag,Left,,
3/6/2020 16:52:55,Purse/Handbag,Left,,
3/6/2020 16:53:03,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:53:15,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:53:21,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:56:21,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:57:18,Pants pocket,Left,Back pocket,Mens
3/6/2020 17:00:33,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:01:34,Pants pocket,Right,Front pocket,Womens
3/6/2020 17:01:41,Coat/Jacket pocket,Right,,
3/6/2020 17:02:09,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:04:15,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:04:35,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:07:49,Pants pocket,Left,Back pocket,Mens
3/6/2020 17:08:40,"All of these places depending on my situation. If I have a jacket, it's jacket. Then purse unless I'm waiting for something/in text convo - then it's back left pocked. I am left handed.",Left,Back pocket,Womens
3/6/2020 17:09:32,Coat/Jacket pocket,Left,,
3/6/2020 17:10:56,Pants pocket,Right,Back pocket,Womens
3/6/2020 17:13:00,Coat/Jacket pocket,Right,,
3/6/2020 17:14:52,Coat/Jacket pocket,Left,,
3/6/2020 17:17:45,Pants pocket,Right,Back pocket,Womens
3/6/2020 17:23:39,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:27:45,Coat/Jacket pocket,Right,,
3/6/2020 17:35:23,Coat/Jacket pocket,Right,,
3/6/2020 17:36:55,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:37:58,Coat/Jacket pocket,Right,,
3/6/2020 17:39:06,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:39:20,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:39:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:44:29,Pants pocket,Left,Front pocket,Womens
3/6/2020 17:46:08,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:46:57,"Pants pocket and purse, depending on my setting",Right,Back pocket,Womens
3/6/2020 17:47:22,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:50:46,Pants pocket,Right,Front pocket,Womens
3/6/2020 17:50:52,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:56:52,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:57:41,Pants pocket,Left,Back pocket,Mens
3/6/2020 18:02:52,Coat/Jacket pocket,Right,,
3/6/2020 18:05:21,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:07:23,Purse/Handbag,Left,,
3/6/2020 18:07:25,Coat/Jacket pocket,Right,,
3/6/2020 18:14:49,Purse/Handbag,Left,,
3/6/2020 18:19:53,Pants pocket,Left,Front pocket,Mens
3/6/2020 18:22:15,Coat/Jacket pocket,Right,,
3/6/2020 18:23:34,Coat/Jacket pocket,Right,,
3/6/2020 18:26:27,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:32:54,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:34:10,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:34:44,Pants pocket,Right,Back pocket,Womens
3/6/2020 18:34:50,Pants pocket,Right,Back pocket,Womens
3/6/2020 18:35:40,Pants pocket,Left,Front pocket,Mens
3/6/2020 18:36:09,Coat/Jacket pocket,Right,,
3/6/2020 18:36:27,Pants pocket,Right,Front pocket,Womens
3/6/2020 18:40:57,Holster,Right,Front pocket,Mens
3/6/2020 18:42:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:54:14,Purse/Handbag,Left,,
3/6/2020 18:55:35,In my waistband,Right,Back pocket,Womens
3/6/2020 18:55:58,Coat/Jacket pocket,Right,,
3/6/2020 18:58:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:02:08,Pants pocket,Right,Front pocket,Womens
3/6/2020 19:03:05,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:03:39,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:05:13,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:06:37,Coat/Jacket pocket,Left,,
3/6/2020 19:08:05,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:10:18,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:10:33,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:10:43,Purse/Handbag,Left,,
3/6/2020 19:12:55,Coat/Jacket pocket,Right,,
3/6/2020 19:13:31,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:13:56,Coat/Jacket pocket,Right,,
3/6/2020 19:16:27,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:16:59,Purse/Handbag,Right,,
3/6/2020 19:17:19,Coat/Jacket pocket,Right,,
3/6/2020 19:18:29,Pants pocket,Left,Back pocket,Womens
3/6/2020 19:19:20,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:19:33,Purse/Handbag,Left,,
3/6/2020 19:20:50,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:20:58,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:21:15,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:22:28,Coat/Jacket pocket,Right,,
3/6/2020 19:23:45,Purse/Handbag,Left,,
3/6/2020 19:25:21,Back pants pocket or purse if not wearing pants with pockets. ,Right,Back pocket,Womens
3/6/2020 19:31:10,Pants pocket,Left,Back pocket,Womens
3/6/2020 19:31:14,Pants pocket,Right,Other pocket,Womens
3/6/2020 19:31:32,Pants pocket,Left,Front pocket,Womens
3/6/2020 19:31:56,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:32:17,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:35:56,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:36:47,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:37:45,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:38:11,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:39:08,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:39:29,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:41:28,Coat/Jacket pocket,Right,,
3/6/2020 19:46:56,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:49:12,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:54:13,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:54:40,Pants pocket,Left,Back pocket,Mens
3/6/2020 19:56:37,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:58:06,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:58:43,Pants pocket,Left,Front pocket,Mens
3/6/2020 20:02:52,Backpack,Right,Front pocket,Mens
3/6/2020 20:06:51,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:06:53,Purse/Handbag,Right,,
3/6/2020 20:11:15,Purse/Handbag,Right,,
3/6/2020 20:12:24,Pants pocket,Left,Front pocket,Mens
3/6/2020 20:13:59,Coat/Jacket pocket,Right,,
3/6/2020 20:14:11,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:15:12,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:15:21,Coat/Jacket pocket,Right,,
3/6/2020 20:15:52,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:18:11,Purse/Handbag,Right,,
3/6/2020 20:19:42,Pants pocket,Right,Back pocket,Mens
3/6/2020 20:20:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:20:27,Pants pocket,Left,Front pocket,Mens
3/6/2020 20:27:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:30:36,Pants pocket,Left,Other pocket,Mens
3/6/2020 20:32:56,Pants pocket,Left,Back pocket,Mens
3/6/2020 20:34:44,Pants pocket,Right,Back pocket,Mens
3/6/2020 20:35:51,Pants pocket,Right,Front pocket,Womens
3/6/2020 20:38:23,Coat/Jacket pocket,Right,,
3/6/2020 20:40:38,Coat/Jacket pocket,Left,,
3/6/2020 20:40:57,Shirt pocket,Left,Front pocket,Mens
3/6/2020 20:44:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:46:15,Pants pocket,Left,Front pocket,Womens
3/6/2020 20:47:55,Coat/Jacket pocket,Right,,
3/6/2020 20:49:21,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:50:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:50:32,Coat/Jacket pocket,Left,,
3/6/2020 20:58:33,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:00:06,Pants pocket,Left,Front pocket,Womens
3/6/2020 21:02:46,Anywhere it fits,Right,Front pocket,Mens
3/6/2020 21:04:53,Purse/Handbag,Right,,
3/6/2020 21:05:27,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:05:32,Pants pocket,Left,Back pocket,Womens
3/6/2020 21:06:54,Right in my hand because I don’t carry a purse and women’s pants don’t have pockets ,Right,Front pocket,Womens
3/6/2020 21:08:42,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:10:05,Coat/Jacket pocket,Right,,
3/6/2020 21:10:16,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:11:37,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:12:30,Between breasts,Right,Other pocket,Womens
3/6/2020 21:13:24,Purse/Handbag,Right,,
3/6/2020 21:15:06,Coat/Jacket pocket,Right,,
3/6/2020 21:15:28,Pants pocket,Right,Back pocket,Womens
3/6/2020 21:16:09,Coat/Jacket pocket,Right,,
3/6/2020 21:16:28,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:18:46,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:23:46,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:24:00,Pants pocket,Right,Back pocket,Womens
3/6/2020 21:24:07,Purse/Handbag,Right,,
3/6/2020 21:30:23,Purse/Handbag,Right,,
3/6/2020 21:31:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 21:36:47,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:38:49,Coat/Jacket pocket,Right,,
3/6/2020 21:39:12,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:41:08,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:41:13,Pants pocket,Right,Back pocket,Mens
3/6/2020 21:47:55,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:49:10,Pants if wearing pants w/pockets. Jacket if not. Bra strap if neither. ,Left,Back pocket,Womens
3/6/2020 21:49:15,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:52:03,Pants pocket,Right,Back pocket,Mens
3/6/2020 21:52:39,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:53:28,Purse/Handbag,Right,,
3/6/2020 21:56:46,Coat/Jacket pocket,Left,,
3/6/2020 21:57:03,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:57:06,Coat/Jacket pocket,Right,,
3/6/2020 21:58:41,Backpack,Left,Front pocket,Mens
3/6/2020 21:58:51,Purse/Handbag,Right,,
3/6/2020 21:59:45,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:00:14,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:01:40,Pants pocket,Left,Back pocket,Mens
3/6/2020 22:02:13,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:02:38,All of the above,Right,Back pocket,Womens
3/6/2020 22:04:03,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:06:18,Coat/Jacket pocket,Right,,
3/6/2020 22:07:13,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:07:17,hand/backpack,Right,Front pocket,Womens
3/6/2020 22:07:44,Coat/Jacket pocket,Right,,
3/6/2020 22:08:11,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:13:50,Coat/Jacket pocket,Right,,
3/6/2020 22:14:12,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:14:52,Pants pocket,Right,Back pocket,Mens
3/6/2020 22:14:58,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:15:25,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:15:28,Purse/Handbag,Left,,
3/6/2020 22:16:15,"Pants if they have pockets, jacket in colder weather, purse if I have to",Right,Front pocket,Womens
3/6/2020 22:16:21,Coat/Jacket pocket,Right,,
3/6/2020 22:16:24,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:17:10,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:18:18,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:19:34,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:20:46,Coat/Jacket pocket,Right,,
3/6/2020 22:20:53,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:22:03,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:23:07,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:23:13,Coat/Jacket pocket,Right,,
3/6/2020 22:23:38,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:23:50,Coat/Jacket pocket,Left,,
3/6/2020 22:23:53,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:23:59,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:24:23,Pants pocket,Left,Front pocket,Mens
3/6/2020 22:24:35,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:25:51,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:26:15,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:27:52,Breast pocket ,Left,Back pocket,Womens
3/6/2020 22:27:54,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:30:51,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:31:33,Coat/Jacket pocket,Right,,
3/6/2020 22:31:48,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:32:55,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:33:24,Coat/Jacket pocket,Right,,
3/6/2020 22:34:45,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:34:47,Shirt pocket on chest,Left,Front pocket,Mens
3/6/2020 22:35:29,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:36:26,Purse/Handbag,Right,,
3/6/2020 22:37:47,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:38:20,Pants pocket,Left,Other pocket,Womens
3/6/2020 22:39:25,Pants pocket,Right,Front pocket,Womens
3/6/2020 22:41:09,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:41:44,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:42:02,Coat/Jacket pocket,Right,,
3/6/2020 22:42:17,Coat/Jacket pocket,Right,,
3/6/2020 22:43:01,Purse/Handbag,Left,,
3/6/2020 22:43:03,Pants pocket,Right,Back pocket,Womens
