Timestamp,Where do you tend to keep your phone,Do you tend to keep your phone on your left or right?,"When you keep your phone in a pants pocket, which pocket do you normally use?",Which style pants do you tend to wear?
3/7/2020 1:57:47,Pants pocket,Right,Back pocket,Womens
3/7/2020 2:03:56,Pants pocket,Right,Front pocket,Mens
3/7/2020 2:04:02,Pants pocket,Right,Front pocket,Mens
3/7/2020 2:11:25,Coat/Jacket pocket,Right,,
3/7/2020 2:12:06,Pants pocket,Right,Back pocket,Womens
3/7/2020 2:12:43,Pants pocket,Right,Front pocket,Womens
3/7/2020 2:15:34,Pants pocket,Right,Front pocket,Mens
3/7/2020 2:15:42,Pants pocket,Left,Front pocket,
3/7/2020 2:21:00,Pants pocket,Right,Back pocket,Womens
3/7/2020 2:28:55,Pants pocket,Right,Front pocket,Mens
3/7/2020 2:35:27,Coat/Jacket pocket,Right,,
3/7/2020 2:46:30,Pants pocket,Right,Front pocket,Womens
3/7/2020 2:52:33,Pants pocket,Right,Front pocket,Womens
3/7/2020 2:54:52,Coat/Jacket pocket,Right,,
3/7/2020 3:01:30,Coat/Jacket pocket,Right,,
3/7/2020 3:04:22,Pants pocket,Right,Front pocket,Mens
3/7/2020 3:11:58,Pants pocket,Right,Front pocket,Mens
3/7/2020 3:12:05,Pants pocket,Left,Front pocket,Mens
3/7/2020 3:20:47,Coat/Jacket pocket,Right,,
3/7/2020 3:25:19,Hand,Right,Front pocket,Womens
3/7/2020 3:35:13,Pants pocket,Right,Front pocket,Mens
3/7/2020 3:37:25,Coat/Jacket pocket,Right,,
3/7/2020 3:38:18,Pants pocket,Right,Front pocket,Mens
3/7/2020 3:48:59,Pants pocket,Right,Back pocket,Womens
3/7/2020 3:51:53,Pants pocket,Right,Back pocket,Mens
3/7/2020 4:01:14,Pants pocket,Right,Front pocket,Mens
3/7/2020 4:05:40,Pants pocket,Left,Front pocket,Mens
3/7/2020 4:05:59,Pants pocket,Right,Front pocket,Womens
3/7/2020 4:07:02,Pants pocket,Right,Front pocket,Mens
3/7/2020 4:12:28,Pants pocket,Right,Front pocket,Mens
3/7/2020 4:45:30,Pants pocket,Right,Front pocket,Mens
3/7/2020 4:48:30,Pants pocket,Right,Front pocket,Mens
3/7/2020 4:55:41,Pants pocket,Right,Front pocket,Mens
3/7/2020 5:01:35,bra because i dont have pockets,Left,Back pocket,Womens
3/7/2020 5:04:51,Pants pocket,Right,Front pocket,Mens
3/7/2020 5:10:03,Pants pocket,Right,Front pocket,Mens
3/7/2020 5:12:48,Pants pocket,Right,Back pocket,Womens
3/7/2020 5:14:25,Purse/Handbag,Right,,
3/7/2020 5:19:16,Purse/Handbag,Right,,
3/7/2020 5:31:35,Purse/Handbag,Right,,
3/7/2020 5:34:18,Bra,Left,Back pocket,Womens
3/7/2020 5:34:43,Pants pocket,Right,Front pocket,Mens
3/7/2020 5:44:01,Pants pocket,Left,Front pocket,Mens
3/7/2020 5:45:12,Pants pocket,Right,Front pocket,Mens
3/7/2020 5:51:24,Pants pocket,Left,Front pocket,Mens
3/7/2020 5:55:53,Pants pocket,Right,Front pocket,Mens
3/7/2020 5:56:31,Pants pocket,Right,Back pocket,Womens
3/7/2020 5:57:50,Pants pocket,Left,Front pocket,Mens
3/7/2020 5:58:47,Pants pocket,Left,Front pocket,Mens
3/7/2020 6:03:35,Pants pocket,Right,Front pocket,Mens
3/7/2020 6:06:57,Pants pocket,Right,Back pocket,Womens
3/7/2020 6:09:30,Pants pocket,Right,Front pocket,Mens
3/7/2020 6:15:58,Coat/Jacket pocket,Right,,
3/7/2020 6:16:10,Pants pocket,Right,Front pocket,Mens
3/7/2020 6:16:55,Desk or table,Left,Front pocket,Womens
3/7/2020 6:19:38,Pants pocket,Left,Front pocket,Mens
3/7/2020 6:26:15,Pants pocket,Left,Back pocket,Womens
3/7/2020 6:42:20,Pants pocket,Right,Front pocket,Mens
3/7/2020 6:44:19,Pants pocket,Right,Other pocket,Mens
3/7/2020 6:47:48,Pants pocket,Right,Front pocket,Mens
3/7/2020 6:53:15,Coat/Jacket pocket,Right,,
3/7/2020 6:54:59,Pants pocket,Left,Front pocket,Mens
3/7/2020 7:08:39,Pants pocket,Right,Front pocket,Mens
3/7/2020 7:13:26,Pants pocket,Left,Front pocket,Mens
3/7/2020 7:16:26,Pants pocket,Right,Front pocket,Mens
3/7/2020 7:21:13,Pants pocket,Right,Front pocket,Mens
3/7/2020 7:33:18,Pants pocket,Right,Back pocket,Womens
3/7/2020 7:33:51,Pants pocket,Left,Front pocket,Mens
3/7/2020 7:35:15,Coat/Jacket pocket,Right,,
3/7/2020 7:43:27,Coat/Jacket pocket,Right,,
3/7/2020 7:48:43,Pants pocket,Left,Front pocket,Mens
3/7/2020 7:58:55,Coat/Jacket pocket,Right,,
3/7/2020 8:09:38,Pants pocket,Left,Front pocket,Mens
3/7/2020 8:13:10,Pants pocket,Left,Front pocket,Mens
3/7/2020 8:14:02,Coat/Jacket pocket,Right,,
3/7/2020 8:18:11,Pants pocket,Right,Front pocket,Mens
3/7/2020 8:23:14,Pants pocket,Left,Front pocket,Womens
3/7/2020 8:44:13,Coat/Jacket pocket,Left,,
3/7/2020 9:08:03,Coat/Jacket pocket,Right,,
3/7/2020 9:09:59,Purse/Handbag,Right,,
3/7/2020 9:14:58,Pants pocket,Right,Front pocket,Mens
3/7/2020 9:18:05,"Trouser pocket when out and about, on floor tucked just under my bed when at home",Right,Front pocket,Mens
3/7/2020 9:32:49,Coat/Jacket pocket,Right,,
3/7/2020 9:32:53,Purse/Handbag,Left,,
3/7/2020 9:39:56,Coat/Jacket pocket,Right,,
3/7/2020 9:45:38,Pants pocket,Right,Front pocket,Mens
3/7/2020 9:51:38,Coat/Jacket pocket,Left,,
3/7/2020 9:53:43,Pants pocket,Right,Front pocket,Mens
3/7/2020 10:14:02,Pants pocket,Left,Front pocket,Mens
3/7/2020 10:18:12,Pants pocket,Right,Front pocket,Mens
3/7/2020 10:22:18,Pants pocket,Left,Front pocket,Mens
